TeamExp,ManagerExp,duration_months,effort_hours,Transactions,Entities,PointsNonAdjust,Adjustment,size_fp,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,effort_per_fp,log_size_fp,log_effort,complexity_score,team_skill_avg,risk_score
1.0,4.0,12.0,5152.0,253.0,52.0,305.0,34.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.003300330033003,5.713732805509369,8.547334348328224,0.0,0.0,0.0
0.0,0.0,4.0,5635.0,197.0,124.0,321.0,33.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.832278481012658,5.755742213586912,8.636929873018572,0.0,0.0,0.0
4.0,4.0,1.0,805.0,40.0,60.0,100.0,18.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.583333333333334,4.430816798843313,6.692083742506628,0.0,0.0,0.0
0.0,0.0,5.0,3829.0,200.0,119.0,319.0,30.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.595394736842104,5.717027701406222,8.250620082174692,0.0,0.0,0.0
0.0,0.0,4.0,2149.0,140.0,94.0,234.0,24.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.282296650717702,5.342334251964811,7.673223121121708,0.0,0.0,0.0
0.0,0.0,4.0,2821.0,97.0,89.0,186.0,38.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.61658031088083,5.262690188904886,7.945201132412759,0.0,0.0,0.0
2.0,1.0,9.0,2569.0,119.0,42.0,161.0,25.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.595890410958905,4.983606621708336,7.851661177889265,0.0,0.0,0.0
1.0,2.0,13.0,3913.0,186.0,52.0,238.0,25.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,5.3706380281276624,8.272315147956022,0.0,0.0,0.0
3.0,1.0,12.0,7854.0,172.0,88.0,260.0,30.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.669354838709676,5.5134287461649825,8.96890555068972,0.0,0.0,0.0
3.0,4.0,4.0,2422.0,78.0,38.0,116.0,24.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.28846153846154,4.6443908991413725,7.792761720816526,0.0,0.0,0.0
4.0,1.0,21.0,4067.0,167.0,99.0,266.0,24.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.08823529411765,5.472270673671475,8.31090675716845,0.0,0.0,0.0
2.0,1.0,17.0,9051.0,146.0,112.0,258.0,40.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.275735294117645,5.605802066295998,9.110741006753427,0.0,0.0,0.0
1.0,1.0,3.0,2282.0,33.0,72.0,105.0,19.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.640449438202246,4.48863636973214,7.733245646529795,0.0,0.0,0.0
3.0,4.0,8.0,4172.0,162.0,61.0,223.0,32.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.225806451612904,5.37989735354046,8.336390480591552,0.0,0.0,0.0
4.0,4.0,9.0,4977.0,223.0,121.0,344.0,28.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.504672897196262,5.771441123130016,8.512783482927537,0.0,0.0,0.0
3.0,2.0,8.0,1617.0,119.0,48.0,167.0,26.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.568627450980392,5.030437921392435,7.388946097618437,0.0,0.0,0.0
4.0,3.0,8.0,3192.0,57.0,43.0,100.0,43.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.28440366972477,4.6913478822291435,8.068716192714781,0.0,0.0,0.0
4.0,4.0,14.0,3437.0,68.0,316.0,384.0,20.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.510703363914374,5.7899601708972535,8.142645185942795,0.0,0.0,0.0
3.0,4.0,14.0,4494.0,9.0,386.0,395.0,21.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.178885630498534,5.831882477283517,8.410720946905721,0.0,0.0,0.0
4.0,2.0,5.0,840.0,58.0,34.0,92.0,29.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.655172413793103,4.465908118654584,6.734591659972948,0.0,0.0,0.0
4.0,4.0,12.0,9586.75,318.0,269.0,587.0,34.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.472079037800686,6.366470447731438,9.168241520954844,0.0,0.0,0.0
2.0,4.0,18.0,5180.0,88.0,170.0,258.0,34.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.234375,5.545177444479562,8.552753366814787,0.0,0.0,0.0
2.0,4.0,5.0,5775.0,306.0,132.0,438.0,37.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.890625,6.104793232414985,8.661466680572662,0.0,0.0,0.0
4.0,1.0,20.0,9586.75,304.0,78.0,382.0,39.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.087311557788944,5.986452005284438,9.168241520954844,0.0,0.0,0.0
1.0,4.0,8.0,3983.0,89.0,200.0,289.0,33.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.024647887323944,5.648974238161206,8.290041618704489,0.0,0.0,0.0
4.0,1.0,14.0,3164.0,86.0,230.0,316.0,33.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17363344051447,5.739792912179234,8.059908334578276,0.0,0.0,0.0
2.0,0.0,6.0,3542.0,71.0,235.0,306.0,37.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.31629392971246,5.746203190540153,8.172729104865471,0.0,0.0,0.0
3.0,1.0,14.0,4277.0,148.0,324.0,472.0,39.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69308943089431,6.198478716492308,8.361240889642351,0.0,0.0,0.0
4.0,4.0,16.0,7252.0,116.0,170.0,286.0,27.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.46969696969697,5.575949103146316,8.889170455363413,0.0,0.0,0.0
4.0,1.0,14.0,3948.0,175.0,277.0,452.0,37.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.545454545454545,6.135564891081739,8.28121766128665,0.0,0.0,0.0
4.0,3.0,6.0,3927.0,79.0,128.0,207.0,27.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.56020942408377,5.25227342804663,8.275885669474356,0.0,0.0,0.0
1.0,1.0,9.0,710.0,145.0,38.0,183.0,27.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.201183431952662,5.1298987149230735,6.566672429803241,0.0,0.0,0.0
4.0,4.0,9.0,2429.0,174.0,78.0,252.0,41.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.063432835820896,5.5909869805108565,7.795646536334594,0.0,0.0,0.0
1.0,1.0,5.0,6405.0,194.0,91.0,285.0,35.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.395104895104897,5.655991810819852,8.764990330169104,0.0,0.0,0.0
2.0,2.0,3.0,651.0,126.0,49.0,175.0,38.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.596685082872928,5.198497031265826,6.480044561926653,0.0,0.0,0.0
1.0,3.0,17.0,9135.0,317.0,119.0,436.0,34.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.09699769053118,6.07073772800249,9.119977931895791,0.0,0.0,0.0
2.0,4.0,11.0,1435.0,289.0,88.0,377.0,28.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.076704545454546,5.863631175598097,7.269616749608169,0.0,0.0,0.0
-1.0,-1.0,8.0,5922.0,260.0,144.0,404.0,24.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.40443213296399,5.8888779583328805,8.686598356276965,0.0,0.0,0.0
